Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Doanh thu hoạt động tài chính,Chi phí tài chính,Trong đó: Chi phí lãi vay,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý doanh  nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận khác,Lãi/ lỗ từ công ty liên doanh (trước 2015),Tổng lợi nhuận kế toán trước thuế,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Lãi trước thuế,Khấu hao TSCĐ,Tổng lợi nhuận kế toán trước thuế,Lợi nhuận sau thuế thu nhập doanh nghiệp
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2022,Đã kiểm toán,,,,,,,,,,,,0.00,1702405000000.00,-345675000000.00,1356730000000.00,0.00,1356730000000.00,1442.00,,,2826000000000.00,2260800000000.00
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2023,Đã kiểm toán,,,,,,,,,,,,0.00,584044000000.00,-130542000000.00,453502000000.00,0.00,453502000000.00,438.00,,,2826000000000.00,2260800000000.00
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2024,Chưa kiểm toán,,,,,,,,,,,,0.00,794660000000.00,-183887000000.00,610773000000.00,0.00,610773000000.00,0.00,,,2826000000000.00,2260800000000.00
5,10,ABC,Truyền thông VMG,UPCoM,Viễn thông,Viễn thông,Viễn thông di động,Viễn thông di động,5,2020,Chưa kiểm toán,3373090725701.00,3371336101295.00,77216897272.00,27016729374.00,-7697882924.00,-4825816018.00,-732176557.00,-15344028906.00,-245995921208.00,-165536382949.00,-2667842002.00,0.00,-168204224951.00,-9300686839.00,-177504911790.00,3946218182.00,-181451129972.00,-8899.00,-168204224951.00,4016007790.00,39436000000.00,31548800000.00
5,10,ABC,Truyền thông VMG,UPCoM,Viễn thông,Viễn thông,Viễn thông di động,Viễn thông di động,5,2021,Chưa kiểm toán,1525844516284.00,1525530077939.00,59401520465.00,21732996312.00,-13159787636.00,-8151168030.00,2465571712.00,-3759169571.00,-649861987368.00,-583180856086.00,695682188.00,0.00,-582485173898.00,-7467829762.00,-589953003660.00,-3002388250.00,-586950615410.00,-28788.00,-582485173898.00,8431776543.00,0.00,0.00
5,10,ABC,Truyền thông VMG,UPCoM,Viễn thông,Viễn thông,Viễn thông di động,Viễn thông di động,5,2022,Chưa kiểm toán,1387889621413.00,1387889621413.00,102795070315.00,28085262193.00,-6173188659.00,-5805449235.00,143362186.00,-1481429428.00,666448381018.00,789817457625.00,1344726753.00,0.00,791162184378.00,-13318001216.00,777844183162.00,128681511.00,777715501651.00,38144.00,791162184378.00,14609739795.00,35000000000.00,28000000000.00
5,10,ABC,Truyền thông VMG,UPCoM,Viễn thông,Viễn thông,Viễn thông di động,Viễn thông di động,5,2023,Đã kiểm toán,1078709786616.99,1078709786616.99,-1837338406.00,32414684521.00,-2606935012.00,-3453700514.00,0.00,-313472567.00,-1639975850.00,26016962686.00,1470318802.00,0.00,27487281488.00,-1163033389.00,26324248099.00,0.00,26324248099.00,1291.00,27487281488.00,12650267658.00,35000000000.00,28000000000.00
5,10,ABC,Truyền thông VMG,UPCoM,Viễn thông,Viễn thông,Viễn thông di động,Viễn thông di động,5,2024,Chưa kiểm toán,1147297263317.00,1146997928816.00,1007672064.00,46302828599.00,-4598813895.00,-3968106802.00,0.00,-2668340818.00,-21554070165.00,18489275785.00,-22160151.00,0.00,18467115634.00,-3985163685.00,14481951949.00,0.00,14481951949.00,710.00,18467115634.00,9011348740.00,35000000000.00,28000000000.00
5,11,ABI,BH NH Nông Nghiệp,UPCoM,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,5,2020,Đã kiểm toán,1779150452867.00,1701650461058.00,710350250886.00,137694852955.00,-105357132.00,,0.00,0.00,-483123042323.00,227227208563.00,1582237553.00,0.00,366398941939.00,-73379018089.00,293019923850.00,0.00,293019923850.00,7953.00,,,300000000000.00,240000000000.00
5,11,ABI,BH NH Nông Nghiệp,UPCoM,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,5,2021,Đã kiểm toán,1882778274723.00,1798652767423.00,684680637482.00,124883963987.00,-31506824.00,,0.00,0.00,-469435540352.00,215245097130.00,656414901.00,0.00,340753969194.00,-68231798201.00,272522170993.00,0.00,272522170993.00,4876.00,,,271000000000.00,216800000000.00
5,11,ABI,BH NH Nông Nghiệp,UPCoM,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,5,2022,Đã kiểm toán,2044429167086.00,1926360020098.00,602942344910.00,132027280499.00,-27976473.00,,0.00,0.00,-458671912948.00,144270431962.00,192724399.00,0.00,276462460387.00,-54664022330.00,221798438057.00,0.00,221798438057.00,3146.00,,,305000000000.00,244000000000.00
5,11,ABI,BH NH Nông Nghiệp,UPCoM,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,5,2023,Đã kiểm toán,2174962031179.00,2018415582464.00,716933285840.00,172570826907.00,-33131920.00,,0.00,0.00,-581251184566.00,135682101274.00,-153172972.00,0.00,308066623289.00,-61754462413.00,246312160876.00,0.00,246312160876.00,2667.00,,,305000000000.00,244000000000.00
5,11,ABI,BH NH Nông Nghiệp,UPCoM,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,5,2024,Chưa kiểm toán,2392214851354.00,2153284689756.00,694430340705.00,149934837164.00,-110810581.00,,0.00,0.00,-588722150970.00,105708189735.00,612088580.00,0.00,256144304898.00,-51427157920.00,204717146978.00,0.00,204717146978.00,0.00,,,305000000000.00,244000000000.00
5,12,ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,5,2020,Chưa kiểm toán,98258258741.00,98258258741.00,52744576822.00,7027058324.00,-5292322.00,0.00,0.00,-8332551198.00,-21732837251.00,29700954375.00,702894783.00,0.00,30403849158.00,-5675212766.00,24728636392.00,0.00,24728636392.00,1236.00,30403849158.00,8077156851.00,16834970000.00,12010130000.00
5,12,ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,5,2021,Chưa kiểm toán,91154043167.00,91154043167.00,44483830851.00,6339716436.00,-2365839.00,0.00,0.00,-5551761617.00,-22096806925.00,23172612906.00,298154785.00,0.00,23470767691.00,-4146025126.00,19324742565.00,0.00,19324742565.00,966.00,23470767691.00,9863027470.00,16775000000.00,13420000000.00
5,12,ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,5,2022,Chưa kiểm toán,104178591209.00,104178591209.00,53096042917.00,10140720661.00,-117581159.00,0.00,0.00,-5161635756.00,-19684954719.00,38272591944.00,281006107.00,0.00,38553598051.00,-9162851595.00,29390746456.00,0.00,29390746456.00,1470.00,38553598051.00,10661794776.00,39830800000.00,31482820000.00
5,12,ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,5,2023,Đã kiểm toán,53676044563.00,53676044563.00,33262134698.00,21640541369.00,-305218180.00,0.00,0.00,-2417763340.00,-22725236220.00,29454458327.00,11442930053.00,0.00,40897388380.00,-9914983165.00,30982405215.00,0.00,30982405215.00,1549.00,40897388380.00,7870208505.00,39830800000.00,31482820000.00
5,12,ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,5,2024,Chưa kiểm toán,26703698429.00,26703698429.00,21460359350.00,16264451768.00,-313771105.00,0.00,0.00,-18223806.00,-10984787856.00,26408028351.00,-126420999.00,0.00,26281607352.00,-8322426872.00,17959180480.00,0.00,17959180480.00,898.00,31432195005.00,1753884828.00,39830800000.00,31482820000.00
